a              6 
aids            edz 
aim            em 
aimed         emd 
ain't            ent 
air            * 
airing          *IN 
airline          *l9n 
airplane       *plen 
airplane's     *plenz 
aisle            9l 
aisles         9lz 
al               &l 
aladin        6l&dIn 
aladin's       6l&dinz 
alarm          6l#m 
alcohol         &lk6hal 
alex             &leks 
alex's          &leks6z 
alexander     &leks&ndR 
alexander's     &leks&ndRz 
alfredo            alfredo 
algae            &lGi 
ali               &li 
alibi            &lIb9 
alice          &lIs 
alice's        &lIsIz 
alicia's       6liS6z 
alike           6l9k 
alive          6l9v 
all            Ol 
alldone         Ol  dAn 
allen            &l~ 
alligator      &lIgetR 
alligator's    &lIgetRz 
allow          6lQ 
allowed        6lQd 
ally               &li 
almost         Olmost 
alone          6lon 
along          6lON 
aloud            6lQd 
alpha           &lf6 
alphabet       &lf6bEt 
alphabets       &lf6bEts 
already        OlrEdi 
alright        Olr9t 
alrightie      Olr9ti 
also           Olso 
although       OlDo 
altogether       OltugEDR 
always         Olwez 
am             &m 
amazed         6mezd 
amazement     6mezm~t 
amazing        6mezIN 
amazingly       6mezINli 
ambitious       &mbIS6s 
ambivalence    &mbIv6l~s 
amelia         6mily6 
amen             amEn 
america         6m*Ik6 
among         6mAN 
amount         6mQnt 
amused         6myuzd 
amusing        6myuzIN 
an             6n 
ancient         enc~t 
and            &nd 
andrea's          &ndriAz 
andrew's       &ndruz 
andy           &ndi 
andy's         &ndiz 
angel          &nGL 
angelica         &nGElIk6 
angels         &nGLz 
angle            &ngL 
angry            &ngri 
animal         &n6mL 
animals        &n6mLz 
animosity     &n6masIti    
ankle           &nkL 
ankles        &NkLz 
ann            &n 
anne           &n 
annie          &ni 
annie's        &niz 
anniversary      &n6vRsRi 
annoying        6n7IN 
anorexic         &n6rEksIk 
another        6nADR 
anotherthe     6nADR  D6 
answer         &nsR 
answered        &nsRd 
answering         &nsRIN 
answers        &nsRz 
ant            &nt 
anteater        &ntitR 
antenna        &ntEn6 
antennaes      &ntEn6z 
antibiotic      &ntib9atIk 
antibiotics      &ntib9atIks 
antisocial       &ntisoSL 
ants           &nts 
any            Eni 
anybody        Enibadi 
anyhow         EnihQ 
anymore        Enim% 
anyone         EniwAn 
anything       EniTIN 
anytime         Enit9m 
anyway         Eniwe 
anyways        Eniwez 
anywhere       EniW* 
apart          6p#t 
apartment      6p#tm~t 
aplenty         6plEnti 
apology         6pOl6Gi 
apparent       6p*~t 
apparently     6p*~tli 
appeals        6pilz 
appearance    6p(~z 
appeared       6p(d 
appetite         &p6t9t 
appiesauce     &pisOs 
apple          &pL 
apples         &pLz 
applesauce     &pLsOs 
appleses          &pLz6z 
applied           6pl9d 
applies           6pl9z 
apply          6pl9 
applying       6pl9yIN 
appointment    6p7ntm~t 
appreciate     6priSiet 
appreciates     6priSiets 
approached     6proct 
appropriate    6propriIt 
apricot        &prIkat 
apricots        &prikats 
apron            epr~ 
apronstring      epr~strIN 
aquarium       6kw*iM 
arc                #k 
arches             #c6z 
are            # 
area           *i6 
areas          *i6z 
areil            EreL 
aren't         #nt 
arfarf          #f  #f 
argue          #gyu 
arguing        #gyuIN 
argument      #gyum~t 
arise            6r9z 
ark              #k 
arm            #m 
armadillo      #m6dIlo 
armhole        #mhol 
arms           #mz 
arm's	   #mz
army           #mi 
aroonie       6runi 
around         6rQnd 
arrange         6renG 
arranged       6renGd 
arrangements   6renGm~ts 
arranging         6renGIN 
array          6re 
arrived       6r9vd 
arriving      6r9vIN 
art          #t 
arthur      #TR 
article      #tIkL 
articles     #tIkLz 
artillery     #tIlRi 
arts          #ts 
as             &z 
ashamed     6Semd 
ashes         &S6z 
ashley        &Sli 
ashley's       &Sliz 
ashtray	     &Stre
ashy          &Si 
ask            &sk 
asked          &skt 
asking         &skIN 
asks           &sks 
asleep         6slip 
asparagus    6sp*6gAs 
aspirate      &sp6ret 
aspirated     &sp6ret6d 
aspirates      &sp6rets 
aspirating      &sp6retIN 
aspirins		&sprInz
assemble       6sEmbL 
asserting        6sRtIN 
assistance      6sIst~s 
associate      6sosiet 
associated     6sosietId 
associates     6sosiets 
association    6sosieS~ 
assortment      6s#tm~t 
assume         6sum 
assumed       6sumd 
at             &t 
ate            et 
athe             eD 
attach           6t&c 
attached       6t&ct 
attaches        6t&c6z 
attack         6t&k 
attacked       6t&kt 
attacking       6t&kIN 
attention      6tEnS~ 
attic             &tIk 
attitude         &t6tud 
attitude         &t6tudz 
attractive       6tr&ktIv 
augmentin       OgmEntIn 
august         Og6st 
aunt           &nt 
auntie         &nti 
aunts           &nts 
autograph     Ot6gr&f 
automatic       Ot6m&tIk 
automatically  Ot6m&tIkli 
automobile      Ot6m6bil 
avenue            &v6nu 
averaging       &vr6GIN 
avocado         av6cado 
avocados       av6cadoz 
aw                O 
awake          6wek 
awakening     6wek~IN 
aware          6w* 
away           6we 
awesome      OsAm 
awful           OfL 
awfully        Ofli 
awfuls          OfLz 
awkward      OkwRd 
ax               &ks 
aye              9 
b                bi 
b@l            bi 
baa            ba 
baa@o         ba 
baba           baba 
babac         babak 
babar         babar 
babars         babarz 
babas            babaz 
babble         b&bL 
babbling     b&bLIN 
babe            beb 
babes           bebz 
babies         bebiz 
baboo           b6bu 
baboon         b6bun 
baby           bebi 
baby's         bebiz 
babycake        bebikek 
babycakes        bebikeks 
babydoll        bebidOl 
babydolls     bebidOlz 
babysat        bebisIt 
babysitter     bebisItR 
babysitters    bebisItRz 
back           b&k 
backdoor        b&kd% 
backed         b&kt 
backflips       b&kflIps 
background      b&krQnd 
backie          b&ki 
backing        b&kIN 
backordered     b&k%dRd 
backs          b&ks 
backtwist       b&ktwIst 
backward        b&kw3d 
backwards       b&kw3dz 
backwash         b&kwaS 
backyard        b&ky#d 
bacon          bek~ 
bacteria        b&kt(i6 
bad            b&d 
badido         b6dido 
badly            b&dli 
baebae        bebe 
bag            b&g 
baggie        b&gi 
baggies        b&giz 
baggy           b&gi 
bags           b&gz 
bah             ba 
bailey         beli 
bake            bek 
baked           bekt 
baker            bekR 
baker's         bekRz 
bakers          bekRz 
bakes          beks 
baking         bekIN 
balance        b&l~ts 
balcony         b&lk6ni 
bald             bOld 
ball           bOl 
ball's        bOlz 
ballerina       b&l6rin6 
ballerinas    b&l6rin6z 
ballet         b&le 
ballgame        bOlgem 
ballie          bOli 
balling         bOlIN 
balloon        b6lun 
balloons       b6lunz 
balls          bOlz 
balmex      bOlmEks 
balogna        b6loni 
baloney          b6loni 
balooga         b6lug6 
baltimore       baltIm% 
bam             b&m 
bambi          b&mbi 
bambi's        b&mbiz 
bambis         b&mbiz 
bamboo        b&mbu 
banana        b6n&n6 
bananas        b6n&n6z 
band           b&nd 
bandana      b&nd&n6 
bands         b&ndz 
bang           b&N 
banged       b&Nd 
banging      b&NIN 
banillon      b6nIl~ 
banjo          b&nGo 
bank           b&Nk 
banner        b&nR 
bantam        b&ntM 
baps             b&ps 
bar               b# 
barbecue     b#b6kyu 
barbells         b#bElz 
barber           b#bR 
barbie          b#bi 
barbies        b#biz 
barbwire     b#bw9r 
bare	           b*
barefoot      b*fUt 
barefooted     b*fUt6d 
barely           b*li 
baring           b*IN 
bark           b#k 
barked         b#kt 
barking      b#kIN 
barkley        b#kli 
barks          b#ks 
barley          b#li 
barn           b#n 
barney           b#ni 
barney's         b#niz 
barrel           b*L 
barrels        b*Lz 
barrette       b6rEt 
barrettes      b6rEts 
barron         b*~ 
barroon        b6run 
barroons          b6runz 
bars           b#z 
bart           b#t 
base         bes 
baseball       besbOl 
baseballs      besbOlz 
basement       besm~t 
bashful          b&SfL 
basic              besIk 
basically      besIkli 
basics          besIks 
basil            bezIl 
basil's           bezIlz 
basket         b&skIt 
basket's        b&skIts 
basketball    b&skItbOl 
basketballs     b&skItbOlz 
basketful         b&skItfL 
baskets        b&skIts 
baster          bestR 
basty            besti 
bat            b&t 
bath           b&T 
bathie          b&Ti 
bathing        beDIN 
bathingsuit     beDINsut 
bathingsuits      beDINsuts 
bathrobe	       b&Trob
bathroom       b&Trum 
bathrooms       b&Trumz 
baths              b&Ts 
bathtime          b&Tt9m 
bathtub        b&TtAb 
batman        b&tm&n 
bats              b&ts 
batter            b&tR 
batteries         b&tRi 
battery           b&tRiz 
battery's         b&tRiz 
battle           b&tL 
batty            b&ti 
bay               be 
be             bi 
beach          bic 
bead            bid 
beads          bidz 
beady         bidi 
beak          bik 
bean         bin 
beanbag      binb&g 
beanie          bini 
beans          binz 
beanstalk      binstak 
bear           b* 
bear's          b*z 
bearbrown      b*rbrQn 
beard          b(d 
bears             b*z 
beast           bist 
beastly         bistli 
beat            bit 
beaten         bit~ 
beaters         bitRz 
beating          bitIN 
beatrix          biatrIks 
beautician       byutIS~ 
beautiful      byut6fL 
beautifully      byutIfli 
beauty           byuti 
beavers        bivRz 
bebe              bebe 
became          bikem 
because        bIkAz 
becky	       bEki
becky's	       bEkiz
become         bIkAm 
becomes        bIkAmz 
becoming       bikAmIN 
bed            bEd 
bed's          bEdz 
beddybye      bEdib9 
bedroom        bEdrum 
beds             bEdz 
bedspread      bEdsprEd 
bedtime        bEdt9m 
bee            bi 
bee's          biz 
beef            bif 
been           bIn 
beep          bip 
beeper       bipR 
beeps          bips 
beer            b( 
bees             biz 
beet             bit 
beetie            biti 
beetle             bitL 
beetles        bitLz 
beets            bits 
before         bIf% 
beg            bEg 
began          bIg&n 
beggar          bEgR 
begging        bEgIN 
begin          bIgIn 
beginner       bIgInR 
beginning      bIgInIN 
begins         bIgInz 
begun          bIgAn 
behaved        bihevd 
behavior       bIhevyR 
behind         bIh9nd 
being          biIN 
beings         biINz 
belch           bElc 
belches       bElc6z 
belief         bIlif 
believe        bIliv 
believed        bIlivd 
believes       bIlivz 
bell           bEl 
bellies       bEliz 
belligerent     bElIGR~t 
bellowed        bElod 
bells           bElz 
belly          bEli 
bellybutton   bElibAt~ 
belong          bilON 
belongs        bIlON 
below           bIlo 
belt           bElt 
belts          bElts 
ben            bEn 
ben's         bEnz 
bench         bEnc 
bend          bEnd 
bended       bEnd6d 
bending     bEndIN 
beneath       bIniT 
benjamin     bEnG6mIn 
bent          bEnt 
berries       b*iz 
berry          b*i 
bert           b3t 
bert's         b3ts 
bertha's       b3T6z 
beside         bIs9d 
besides        bIs9dz 
best           bEst 
bestest      bEstEst 
bet            bEt 
beth           bET 
better         bEtR 
betty          bEti 
between        bItwin 
beverage     bEvR6G 
beyond         biand 
bib            bIb 
bibbie       bIbi 
bibbie's     bIbiz
bible          b9bL 
bibs           bIbz 
bicycle        b9sIkL 
bicycles       b9sikLz
bid              bId 
big            bIg 
bigger         bIgR 
biggest        bIgIst 
bike          b9k 
bike's        b9ks 
bikes          b9ks 
bill           bIl 
bills          bIlz 
billy           bIli 
bin            bIn 
bing@o     bIN 
bingo       bINgo 
binkie        bINki 
binkies       bINkiz 
binoculars    b9nAkyulRz 
binya          bIny6 
bird           b3d 
bird's          b3dz 
birdfeeder      b3dfidR 
birdie         b3di 
birdie's       b3diz 
birdies        b3diz 
birds          b3dz 
birth         b3T 
birthday       b3Tde 
biscuits        bIskIts 
bit            bIt 
bite           b9t 
bites          b9ts 
biting         b9tIN 
bits           bIts 
bitsy         bItsi 
bitter          bItR 
bitty             bIti 
black          bl&k 
blackberries     bl&kb*iz 
blackberry        bl&kb*i 
blackbird          bl&kb3d 
blackbirds        bl&kb3dz 
blade           bled 
blades         bledz 
blah          bla 
blame       blem 
blank         bl&Nk 
blanket        bl&NkIt 
blanket's      bl&NkIts
blanketie       bl&NkIti 
blankets        bl&NkIts 
blankie       bl&Nki 
blankies       bl&Nkiz 
blast          bl&st 
blasting       bl&stIN
bleach        blic 
bleached      blict 
bleaching       blicIN 
bleed             blid 
blend           blEnd 
blends         blEndz 
bless          blEs 
blessed        blEst 
blessing       blEsIN 
blessings       blEsINz 
blew           blu 
blind          bl9nd 
blinds          bl9ndz 
blink           blINk 
blinking      blINkIN 
blob	          blab
block          blak 
block's        blaks 
blockbuster    blakbAstR 
blocked       blakt 
blockhead      blakhEd 
blockie          blaki 
blockies         blakiz 
blocking        blakIN 
blocks         blaks 
blond       bland 
blonde      bland 
blood        blAd 
bloom       blum 
blooming   blumIN 
blossomed       blasMd 
blouse         blQs 
blow           blo 
blowing      blowIn 
blows           bloz 
blowup       bloAp 
blue           blu 
blue's        bluz 
blueberries    blub*iz 
blueberry      blub*i 
blush          blAS 
blustery      blAstRi 
bo      bo 
board     b%d 
boarded     b%d6d 
boat           bot 
boats          bots 
bob            bab 
bobbing      babIN 
bobbling      babLIN 
bobby          babi 
bobo             bobo 
boboneen       bobonin 
boboni          boboni 
boboon         bobun 
boboonie       bobuni 
bobs	       babz
body           badi 
bog         bag 
bogus      bogAs 
boil          b7l 
boiled       b7ld 
boiling        b7lIN 
boing          b7N 
bologna        b6loni 
bond         band 
bone        bon 
boneen      bonin 
boneen's     boninz 
boneene      bonin 
boneeno       bonino 
bones          bonz 
bong          baN 
bongo        baNgo 
bongos        baNgoz 
bonk            baNk 
bonked       baNkt 
bonkie         baNki 
bonking       baNkIN 
bonnet          banIt 
bonny           bani 
bony           boni 
boo          bu 
boobie      bubi 
booboo         bubu 
boobooing@n    bubuIN 
booboon      bubun 
booboon's      bubunz 
booboonee     bubuni 
boobooneen     bubunin 
boobooneen's   bubuninz 
boobooneeno    bubunino 
booboonino       bubunino 
booboos         bubuz 
boobooshas   bubuS6z 
booger          bUgR 
boogers        bUgRz 
boogie          bUgi 
boogies       bUgiz 
boogyman        bUgim&n 
book           bUk 
bookbag      bUkb&g 
bookcase       bUkkes 
bookie          bUki 
bookies         bUkiz 
books          bUks 
boom           bum 
boom@o     bum 
boomdie      bumdi 
boomerang     bum6r&N 
booms         bumz 
boomsie        bumzi 
booneenie      bunini 
boonie          buni 
boop         bup 
boops@o     bups 
boopsieboo    bupsibu 
boosh            buS 
booshaboosh     buS6buS 
boost        bust 
booster      bustR 
boot            but 
bootiebooshas     butibuS6z 
booties     butiz 
boots          buts 
booty          buti 
bop      bap 
bop's     baps 
boppety    bap6ti 
bored          b%d 
boring         b%IN 
born         b#n 
borrowed     barod 
borrowing      barowIn 
bossing         basIN 
boston          bastN 
both           boT 
bother         baDR 
bothered       baDRd 
bothering      baDRIN 
bothers        baDRz 
bottle         batL 
bottles         batLz 
bottom         batM 
bottoms       batMz 
bough           bQ 
bought        bOt 
bouillon      bUly~
bounce        bQnts 
bounced       bQntst 
bouncer       bQntsR 
bounces       bQnts6z 
bouncie       bQntsi 
bouncing      bQntsIN 
bouncy          bQntsi 
bounder         bQndR 
bounds          bQndz 
bout           bQt 
bow            bo 
bowed         bQd 
bowel            bQl 
bowels           bQlz 
bowing           bQIN 
bowl           bol 
bowls          bolz 
bowl's	       bolz
bows           boz 
bowwow       bQwQ 
bowwow@o      bQwQ 
box            baks
box's	       baksIz 
boxes          baksIz 
boy            b7 
boy's          b7z 
boys           b7z 
boyser        b7zR 
boyz            b7z 
bra               bra 
bracelet        bresl6t 
braid            bred 
braiding       bredIN 
brain          bren 
bran           br&n 
branch        br&nc 
branches      br&nc6z 
brand           br&nd 
brandnew      br&nd  nu 
brass            br&s 
brat            br&t 
brave           brev 
bray             bre 
bread          brEd 
break          brek 
breakable      brek6bL 
breakfast      brEkf6st 
breaking        brekIN 
breaks           breks 
breast            brEst 
breath             brET 
breathe           briD 
breather         briDR 
breathing      briDIN 
breeze         briz 
brenda         brEnd6 
brenda's       brEnd6z 
brendan        brEnd~ 
brian              br9N 
brick          brIk 
bricks         brIks 
bridge         brIG 
bridges        brIGIz 
briefcase        brifkes 
bright         br9t 
brighter        br9tR 
brightness     br9tnEs 
brigitte          brIGit 
brigitte's         brIGits 
brilliant           brIly~t 
bring          brIN 
bringing       brININ 
brings         brINz 
brisco         brIsko 
brisco's       brIskoz 
bristle        brIsL 
bristles       brIsLz 
britches       brItc6z 
brittany        brItni 
brittney         brItni 
brittney's        brItniz 
broad             brOd 
broader           brOdR 
broccoli          brOc6li 
brocovich      brak6vIc 
broke          brok 
broken         brok~ 
brokenhearted     brok~h#t6d 
brook       brUk 
brooklyn      brUkl~ 
broom          brum 
brooms          brumz 
broth             braT 
brother        brADR 
brothers         brADRz 
brought        brOt 
brown           brQn 
brown's		brQnz
brownies        brQniz 
browns         brQnz 
brows          brQz 
brr          bR 
bruce      brus 
bruise     bruz 
bruised    bruzd 
brunch       brAnc 
brush          brAS 
brusha        brAS6 
brushed        brASt 
brushes        brASIz 
brushing       brASIN 
bub              bAb 
bubbilicious    bAbIlIS6s 
bubble          bAbL 
bubbler         bAbLR 
bubbles        bAbLz 
bubblicious     bAblIS6s 
bubbly          bAbLi 
buckaroo       bAk6ru 
bucket            bAkIt 
buckets        bAkIts 
buckle           bAkL 
buckled          bAkLd 
buckles          bAkLz 
buckling       bAklIN 
bucks          bAks 
bucky          bAki 
bud            bAd 
buddies       bAdiz 
buddy          bAdi 
buds            bAdz 
bug            bAg 
bug's         bAgz 
bugged       bAgd 
buggie         bAgi 
bugging      bAgIN 
bugs           bAgz 
build          bIld 
builded       bIld6d 
building       bIldIN 
buildings      bIldINz 
builds         bIldz 
built          bIlt 
bull            bUl 
bullfrog       bUlfrag 
bully           bUli 
bullying       bUliIN 
bullys          bUliz 
bum             bAm 
bumblebee     bAmbLbi 
bumblebees     bAmbLbiz 
bumbling       bAmbLIN 
bummed        bAmd 
bummer         bAmR 
bummie         bAmi 
bummie's      bAmiz 
bumming       bAmIN 
bump         bAmp 
bumped     bAmpt 
bumper      bAmpR 
bumping     bAmpIN 
bumpity      bAmpIti 
bumps       bAmps 
bumpy       bAmpi 
bums         bAmz 
bun             bAn 
bunch          bAnc 
bundle          bAndL 
bungalow      bAng6lo 
bunnies        bAniz 
bunnies's    bAniz6z 
bunny          bAni 
bunny's        bAniz 
bunnyegg      bAni  Eg 
bunnyrabbit      bAnir&bIt 
bunnyrabbits      bAnir&bIts 
bunnys          bAniz 
buns              bAnz 
bunting         bAntIN
burger		b3g3 
buried           b*id 
burke           b3k 
burn           b3n 
burned       b3nd 
burning       b3nIN 
burnt          b3nt 
burp           b3p 
burped        b3pt 
burper        b3pR 
burpie        b3pi 
burping      b3pIN 
burps         b3ps 
burrow      b3o 
burt          b3t 
bury         b*i 
bus             bAs 
buses          bAsIz 
bush           bUS 
bushed        bUSt 
bushel         bUSL 
bushes         bUSIz 
business      bIzn6s 
businesses   bIzn6s6z 
bust            bAst 
busted          bAst6d 
buster         bAstR 
busting          bAstIN 
busts            bAsts 
busy           bIzi 
but            bAt 
but's          bAts 
buts          bAts 
butt           bAt 
butter         bAtR 
butterball     bAtRbOl 
butterflies    bAtRfl9z 
butterfly      bAtRfl9 
butternut      bAtRnAt 
butternutie@n    bAtRnAti 
button         bAt~ 
buttoned       bAt~d 
buttonhole     bAt~hol 
buttoning      bAt~IN 
buttons        bAt~z 
butts       bAts 
buttsie     bAtsi 
buy            b9 
buying        b9IN 
buys             b9z 
buzz      bAz 
buzzing     bAzIN 
by             b9 
bye            b9 
byebye        b9b9 
byebyes      b9b9z 
c             si 
c@l            si 
cabbage       k&b6G 
cabinet        k&b6nIt 
cabinets       k&b6nIts 
cable       kebL 
caboose     k6bus 
cactus       k&kt6s 
cage           keG 
cages          keGIz 
cake           kek 
cake's        keks 
cakes          keks 
cakie       keki 
caking@n     kekIN 
calcium        k&lsi6m 
calculator     k&lkyuletR 
calendar      k&lEndR 
calf       k&f 
california     k&l6f%ny6 
call           kOl 
called         kOld 
calling        kOlIN 
calls          kOlz 
calm       kalm 
calories      k&l%iz 
calvary       k&lv6ri 
came           kem 
camel         k&mL 
camels      k&mLz 
camera       k&m6r6 
cameras     k&m6r6z 
camp          k&mp 
campbell     k&mbL 
camped     k&mpt 
camping     k&mpIN 
camps         k&mps 
can            k&n 
can't          k&nt 
cancel      k&nsL 
candies      k&ndiz 
candle       k&ndL 
candles      k&ndLz 
candy         k&ndi 
cane        ken 
cannot     k&nat 
cans        k&nz 
cantaloupe    k&nt6lop 
canton         k&nt~ 
cap            k&p 
capable        kep6bL 
capris       k6priz 
captain        k&pt~ 
captain's      k&pt~z
car            k# 
car's         k#z 
carbonation   k#b6neS~ 
card           k#d 
cardboard      k#db%d 
cardinal        k#d6nL 
cardinals      k#d6nLz 
cards          k#dz 
care           k* 
careening     k6rinIN 
careful        k*fL 
carefully      k*fLi 
cares          k*z 
carl       k#l 
carmen     k#m~ 
carol       k*L 
carpet      k#p6t 
carriage     k*6G 
carrie       k*i 
carried        k*id 
carries        k*iz 
carrot         k*6t 
carrots        k*6ts 
carry          k*i 
carrying     k*riIN 
cars           k#z 
carseat      k#sit 
cart            k#t 
carton    k#t~ 
cartoon        k#tun 
cartoons        k#tunz 
carts          k#ts 
case           kes 
cases         kes6z 
cassy          k&si 
castle         k&sL 
castles        k&sLz 
casts     k&sts 
cat            k&t 
cat's          k&ts 
catalogs     k&t6lagz 
catalogue    k&t6lag 
catastrophe  k6t&str6fi 
catch          k&c 
catcher       k&cR 
catches       k&c6z 
catching       k&cIN 
catdoor      k&td% 
categorical    k&tIg%IkL 
categories     k&tIg%iz 
caterpillar    k&tRpIlR 
caterpillars     k&tRpIlRz 
cathy		 k&Ti
cathy's		 k&Tiz
catnaping     k&tn&pIN 
cats           k&ts 
caught         kOt 
cauliflower    kOliflQR 
cause          kOz 
causing      kOzIN 
cavalry       k&vLri 
cave         kev 
caves          kevz 
caw            kO 
cdefg@k       si  di  i  Ef  Gi 
ceiling        silIN 
ceilings       silINs 
celebrate      sEl6bret 
celebrated      sEl6bret6d 
celebrates       sEl6brets 
celebrating       sEl6bretIN 
celebration       sEl6breS~ 
celery           sElRi 
cell        sEl 
cells      sElz 
cement     sImEnt 
cent        sEnt 
center          sEntR 
centered       sEntRd 
centering       sEntRIN 
centers           sEntRz 
centipede       sEntIpid 
cents          sEnts 
century       sEnc3i 
cereal         s(iL 
cereal's        s(iLz  
cereals          s(iLz 
certain        s3t~ 
certainly     s3t~li 
certificate     s3tIf6c6t 
chafing        cefIN 
chain          cen 
chains        cenz 
chair          c* 
chairs         c*z 
chalk         cak 
chalkboard     cakb%d 
challenge        c&lEnG 
challenging     c&lEnGIN 
chance         c&nts 
chances        c&nts6z 
change         cenG 
changed        cenGd 
changes        cenG6z 
changing       cenGIN 
channel          c&nL 
channels         c&nLz 
chap          c&p 
character      k*IktR 
characteristic k*Ikt6rIstIk 
characters     k*IktRz 
charge            c#G 
charged          c#Gd 
charges           c#G6z 
charging          c#GIN 
charlie       c#li 
charm      c#m 
charming   c#mIN 
chart       c#t 
chase           ces 
chased        cest 
chases        ces6z 
chasing      cesIN 
chat       c&t 
check           cEk 
checkbook        cEkbUk 
checkbook's       cEkbUks 
checkbooks       cEkbUks 
checking     cEkIN 
checkout           cEkQt 
checks     cEks 
chee      ci 
cheek          cik 
cheekie    ciki 
cheekies    cikiz 
cheeks         ciks 
cheep      cip 
cheer      c( 
cheerful   c(fL 
cheerio     c(io 
cheerio's    c(ioz 
cheerios       c(ioz 
cheers     c(z 
cheery     c(i 
cheese         ciz 
cheeseburger    cizb3gR 
cheeto     cito 
chef     SEf 
cherries     cEriz 
cherrio     cErio 
chest      cEst 
chester    cEstR 
chew           cu 
chewed     cud 
chewing      cuwIN 
chews     cuz 
chewy          cuwi 
chi    ci 
chicago	  SIkago
chichi           cici 
chichi's          ciciz 
chick          cIk 
chick's     cIks 
chickadee      cIk6di 
chicken        cIk~ 
chickennoodle   cIk~  nudL 
chickens       cIk~z 
chickie      cIki 
chickie's     cIkiz 
chickies       cIkiz 
chicks         cIks 
chico          ciko 
chihuahua     ciwawa 
child          c9ld 
children       cIldr~ 
chili        cIli 
chill      cIl 
chillier     cIliR 
chilling    cIlIN 
chillon     cIl~ 
chilly          cIli 
chime     c9m 
chimes    c9mz 
chimney    cImni 
chimp     cImp 
chimpanzee      cImp&nzi 
chin           cIn 
china      c9n6 
chinese     c9niz 
chinie        cIni 
chinnie       cIni 
chip           cIp 
chipmunks   cIpmANks 
chips          cIps 
chirp      c3p 
chirping     c3pIN 
chirps	     c3ps
chitlins      cItL~z 
chocolate      cOklIt 
choice           c7s 
choices         c7s6z 
choke           cok 
choking       cokIN 
cholesterol      k6lEstRal 
chomp          cOmp 
choo      cu 
choo@o     cu 
chooc@o      cuk 
choochoo       cu  cu 
choochoo@o    cu  cu 
choose        cuz 
chop         cap 
chopped     capt 
chore     c% 
chores         c%z 
chose          coz 
chowder	       cQd3
chris       krIs 
christ       kr9st 
christened      krIs~d 
christening     krIs~IN 
christmas      krIsm6s 
christopher    krIst6fR 
chubby         cAbi 
chuckie        cAki 
chugga@o      cAg6 
chunky      cANki 
church           cRc 
churches       cRc6z 
chute         Sut 
cigar	      sIg#
cigarette      sIg6rEt 
cinderella       sInd6rEl6 
cinderella's     sSind6rEl6z 
cindy          sIndi 
cindy's        sIndiz 
cinnamon     sIn6m~ 
circle          s3kL 
circled       s3kLd 
circles        s3kLz 
circular      s3kyulR 
circulation    s3kyuleS~ 
circumstances  s3kMst&nsIz 
circus           s3k6s 
citrus        sItr6s 
city            sIti 
civilization   sIv6l6zeS~ 
civilized      sIv6l9zd 
clam	       kl&m
clamp       kl&mp 
clap             kl&p 
clappie        kl&pi 
clapping       kl&pIN 
class          kl&s 
clattering     kl&tRIN 
claus          klOz 
clay           kle 
clean          klin 
cleaned        klind 
cleaner        klinR 
cleaner's       klinRz 
cleanest     klinEst 
cleaning       klinIN 
cleans         klinz 
cleanup        klinAp 
clear          kl( 
clearance      kl(6nz 
cleared      kl(d 
clearer       kl(R 
clearly        kl(li 
clever       klEvR 
click        klIk 
clicker      klIkR 
clicking       klIkIN 
clifford        klIf3d 
clifford's     klIf3dz 
climb          kl9m 
